## time           Signal       Signal_ifft        freq.         spc_fft        spc_noise_cancel
 (   0.000+   0.000j)	 (   0.000+   0.000j)	 (  -0.110+  -0.528j)	 (   0.000+   0.000j)	 (   2.657+   0.000j)	 (   2.657+   0.000j)
 (   0.010+   0.000j)	 (   0.427+   0.000j)	 (   0.155+  -0.510j)	 (   0.392+   0.000j)	 (   2.681+   0.000j)	 (   2.681+   0.000j)
 (   0.020+   0.000j)	 (   0.398+   0.000j)	 (   0.340+  -0.382j)	 (   0.784+   0.000j)	 (   2.756+   0.000j)	 (   2.756+   0.000j)
 (   0.030+   0.000j)	 (   0.999+   0.000j)	 (   0.428+  -0.229j)	 (   1.176+   0.000j)	 (   2.885+   0.000j)	 (   2.885+   0.000j)
 (   0.040+   0.000j)	 (   0.833+   0.000j)	 (   0.464+  -0.097j)	 (   1.569+   0.000j)	 (   3.081+   0.000j)	 (   3.081+   0.000j)
 (   0.050+   0.000j)	 (   1.000+   0.000j)	 (   0.485+   0.027j)	 (   1.961+   0.000j)	 (   3.360+   0.000j)	 (   3.360+   0.000j)
 (   0.060+   0.000j)	 (   1.070+   0.000j)	 (   0.483+   0.169j)	 (   2.353+   0.000j)	 (   3.751+   0.000j)	 (   3.751+   0.000j)
 (   0.070+   0.000j)	 (   0.619+   0.000j)	 (   0.426+   0.323j)	 (   2.745+   0.000j)	 (   4.307+   0.000j)	 (   4.307+   0.000j)
 (   0.080+   0.000j)	 (   0.778+   0.000j)	 (   0.306+   0.448j)	 (   3.137+   0.000j)	 (   5.123+   0.000j)	 (   5.123+   0.000j)
 (   0.090+   0.000j)	 (   0.191+   0.000j)	 (   0.150+   0.513j)	 (   3.529+   0.000j)	 (   6.399+   0.000j)	 (   6.399+   0.000j)
 (   0.100+   0.000j)	 (  -0.000+   0.000j)	 (  -0.006+   0.521j)	 (   3.922+   0.000j)	 (   8.617+   0.000j)	 (   8.617+   0.000j)
 (   0.110+   0.000j)	 (  -0.191+   0.000j)	 (  -0.147+   0.490j)	 (   4.314+   0.000j)	 (  13.341+   0.000j)	 (  13.341+   0.000j)
 (   0.120+   0.000j)	 (  -0.778+   0.000j)	 (  -0.279+   0.427j)	 (   4.706+   0.000j)	 (  29.951+   0.000j)	 (  29.951+   0.000j)
 (   0.130+   0.000j)	 (  -0.619+   0.000j)	 (  -0.396+   0.325j)	 (   5.098+   0.000j)	 ( 119.780+   0.000j)	 ( 119.780+   0.000j)
 (   0.140+   0.000j)	 (  -1.070+   0.000j)	 (  -0.477+   0.182j)	 (   5.490+   0.000j)	 (  19.992+   0.000j)	 (  19.992+   0.000j)
 (   0.150+   0.000j)	 (  -1.000+   0.000j)	 (  -0.502+   0.016j)	 (   5.882+   0.000j)	 (  10.935+   0.000j)	 (  10.935+   0.000j)
 (   0.160+   0.000j)	 (  -0.833+   0.000j)	 (  -0.468+  -0.143j)	 (   6.275+   0.000j)	 (   7.546+   0.000j)	 (   7.546+   0.000j)
 (   0.170+   0.000j)	 (  -0.999+   0.000j)	 (  -0.392+  -0.276j)	 (   6.667+   0.000j)	 (   5.777+   0.000j)	 (   5.777+   0.000j)
 (   0.180+   0.000j)	 (  -0.398+   0.000j)	 (  -0.286+  -0.380j)	 (   7.059+   0.000j)	 (   4.691+   0.000j)	 (   4.691+   0.000j)
 (   0.190+   0.000j)	 (  -0.427+   0.000j)	 (  -0.155+  -0.454j)	 (   7.451+   0.000j)	 (   3.958+   0.000j)	 (   3.958+   0.000j)
 (   0.200+   0.000j)	 (  -0.000+   0.000j)	 (  -0.000+  -0.487j)	 (   7.843+   0.000j)	 (   3.430+   0.000j)	 (   3.430+   0.000j)
 (   0.210+   0.000j)	 (   0.427+   0.000j)	 (   0.162+  -0.466j)	 (   8.235+   0.000j)	 (   3.032+   0.000j)	 (   3.032+   0.000j)
 (   0.220+   0.000j)	 (   0.398+   0.000j)	 (   0.305+  -0.389j)	 (   8.627+   0.000j)	 (   2.721+   0.000j)	 (   2.721+   0.000j)
 (   0.230+   0.000j)	 (   0.999+   0.000j)	 (   0.411+  -0.274j)	 (   9.020+   0.000j)	 (   2.472+   0.000j)	 (   2.472+   0.000j)
 (   0.240+   0.000j)	 (   0.833+   0.000j)	 (   0.476+  -0.137j)	 (   9.412+   0.000j)	 (   2.269+   0.000j)	 (   2.269+   0.000j)
 (   0.250+   0.000j)	 (   1.000+   0.000j)	 (   0.501+   0.010j)	 (   9.804+   0.000j)	 (   2.101+   0.000j)	 (   2.101+   0.000j)
 (   0.260+   0.000j)	 (   1.070+   0.000j)	 (   0.483+   0.163j)	 (  10.196+   0.000j)	 (   1.948+   0.000j)	 (   1.948+   0.000j)
 (   0.270+   0.000j)	 (   0.619+   0.000j)	 (   0.415+   0.307j)	 (  10.588+   0.000j)	 (   1.828+   0.000j)	 (   1.828+   0.000j)
 (   0.280+   0.000j)	 (   0.778+   0.000j)	 (   0.300+   0.422j)	 (  10.980+   0.000j)	 (   1.722+   0.000j)	 (   1.722+   0.000j)
 (   0.290+   0.000j)	 (   0.191+   0.000j)	 (   0.156+   0.490j)	 (  11.373+   0.000j)	 (   1.628+   0.000j)	 (   1.628+   0.000j)
 (   0.300+   0.000j)	 (  -0.000+   0.000j)	 (   0.002+   0.509j)	 (  11.765+   0.000j)	 (   1.546+   0.000j)	 (   1.546+   0.000j)
 (   0.310+   0.000j)	 (  -0.191+   0.000j)	 (  -0.148+   0.483j)	 (  12.157+   0.000j)	 (   1.473+   0.000j)	 (   1.473+   0.000j)
 (   0.320+   0.000j)	 (  -0.778+   0.000j)	 (  -0.285+   0.416j)	 (  12.549+   0.000j)	 (   1.407+   0.000j)	 (   1.407+   0.000j)
 (   0.330+   0.000j)	 (  -0.619+   0.000j)	 (  -0.399+   0.308j)	 (  12.941+   0.000j)	 (   1.348+   0.000j)	 (   1.348+   0.000j)
 (   0.340+   0.000j)	 (  -1.070+   0.000j)	 (  -0.474+   0.167j)	 (  13.333+   0.000j)	 (   1.295+   0.000j)	 (   1.295+   0.000j)
 (   0.350+   0.000j)	 (  -1.000+   0.000j)	 (  -0.498+   0.007j)	 (  13.725+   0.000j)	 (   1.247+   0.000j)	 (   1.247+   0.000j)
 (   0.360+   0.000j)	 (  -0.833+   0.000j)	 (  -0.469+  -0.148j)	 (  14.118+   0.000j)	 (   1.203+   0.000j)	 (   1.203+   0.000j)
 (   0.370+   0.000j)	 (  -0.999+   0.000j)	 (  -0.396+  -0.284j)	 (  14.510+   0.000j)	 (   1.162+   0.000j)	 (   1.162+   0.000j)
 (   0.380+   0.000j)	 (  -0.398+   0.000j)	 (  -0.288+  -0.392j)	 (  14.902+   0.000j)	 (   1.125+   0.000j)	 (   1.125+   0.000j)
