# Flash news
1,安倍首相「台風災害の復旧は待ったなし」　新内閣始動アピール
,2019年09月12日 11:28
2,コンビニ「弁当やおにぎりない」　ガソリンスタンドは長蛇の列　物資不足が深刻に　千葉停電
,2019年09月12日 11:24
3,フィギュア　紀平、高確率な3回転半　男子の羽生も「過去最高の状態」　オータム・クラシック13日開幕
,2019年09月12日 11:20
4,「5G」や「クラウド」活用の新時代ゲームも　「東京ゲームショウ」開幕
,2019年09月12日 11:12
5,重体の11歳女児が死亡　高槻水難事故、死者は3人に
,2019年09月12日 11:03
6,パラ競泳　100平で18歳の山口尚秀、競泳陣で初のパラ代表決定　世界選手権、世界新記録で優勝
,2019年09月12日 10:59
7,東名・あおりエアガン、40代男に逮捕状　愛知県警が器物損壊容疑で
,2019年09月12日 10:55
8,停電の千葉、癒しの浴場無料開放　匝瑳・ふれあいセンター
,2019年09月12日 10:53
9,逸ノ城が休場　鶴竜戦で負傷「右肩関節脱臼」と診断
,2019年09月12日 10:52
10,続く停電、ガソリンスタンドに長蛇の列　千葉県内「生きた心地しない」
,2019年09月12日 10:45
11,九州電力が高齢者見守りサービス「こねQと」
,2019年09月12日 10:43
12,カナダ、10月21日に総選挙　トルドー首相、議会下院を解散
,2019年09月12日 10:40
13,停電、千葉など4市、12日復旧へ　なお34万戸が依然停電
,2019年09月12日 10:34
14,米著名投資家、ピケンズさん死去91歳　小糸製作所買い占めで話題
,2019年09月12日 10:31
15,外為　東京＝10時　1ドル＝108円03～04銭
,2019年09月12日 10:31
16,九州への訪日客8年ぶり減少　中国客急減、韓国も今後減少か　今年上半期
,2019年09月12日 10:30
17,日本の漫画「深夜食堂」はいいアイデア　中国が新たな消費促進策
,2019年09月12日 10:28
18,米、対中関税上げ「10月1日から15日に先送り」　中国対応を評価
,2019年09月12日 10:22
19,「コレは便利、私はヤチョラー」　コクヨ「測量野帳」発売60年、企業などのオリジナルも誕生
,2019年09月12日 10:19
20,栃木のデーモンさん「ライブで献血しようぜ!」　23日にドラキュラフェス
,2019年09月12日 10:15
21,トランプ氏「電子たばこ販売を禁止する」　数週間以内に具体的な計画発表へ
,2019年09月12日 10:13
22,「リビアモデル提案は大失敗」トランプ氏、ボルトン氏解任理由明かす
,2019年09月12日 09:59
23,バハマ、ハリケーン死者50人に　直撃した「ドリアン」
,2019年09月12日 09:56
24,大川小見学に新冊子「自分事として考えて」　震災8年半
,2019年09月12日 09:55
25,バンクシー作品30点、ネット競売　最高予想落札額は「少女と風船」シリーズの3300万円か
,2019年09月12日 09:53
26,震災8年半「おばあちゃんに食べさせたかった」　28歳「山田湾ベーカリー」開店
,2019年09月12日 09:52
27,株式　東証＝始値　2万1761円09銭
,2019年09月12日 09:05
28,ヤフーがZOZOを買収、前沢社長は退任へ　TOBで子会社化
,2019年09月12日 08:56
29,外為・株式　NY＝17時　1ドル＝107円80～90銭
,2019年09月12日 08:56
30,カラフトマス2500匹大量死　北海道、1.5キロにわたり死骸
,2019年09月12日 08:41
31,旧「こどもの城」東京都が525億円で買収契約　五輪ボランティア拠点に
,2019年09月12日 08:38
32,NY円、107円後半で取引
,2019年09月12日 08:14
33,NY株続伸、227ドル高　2万7000ドル台回復
,2019年09月12日 08:13
34,「なぜ沖縄だけ」司法に期待も「あきらめの境地」嘉手納爆音訴訟判決　肩落とす原告・豊浜さん
,2019年09月12日 07:00
35,ポットの中は今…14カ国・地域で聞き取り　日本のヘルパーが取り組む「世界のヘルパーに出会う旅」
,2019年09月12日 07:00
36,食品廃棄物減らせば飢餓解消　食糧需要も抑制　立命館大チーム
,2019年09月12日 06:30
37,税金はどう使われているの?　「JUDGIT!」で国の5000事業を手軽に検索
,2019年09月12日 06:00
38,ビキニ国賠訴訟「被ばく隠し」訴え続け　高知の83歳元船員、がん抱え法廷へ　控訴審12日結審
,2019年09月12日 05:00
39,あおり被害者の書類送検取り消しへ　新東名の事故、宮崎容疑者の立件検討　
,2019年09月12日 02:30
40,「3000億年に1秒のずれ」原子核時計実現へ一歩　岡山大チームが基礎技術開発
,2019年09月12日 02:00
41,小泉環境相「原発、どうやったらなくせるか」再生エネ、政府目標より拡大目指す
,2019年09月12日 00:46
42,京大・山中氏MGC「楽しみ」　瀬古氏と“人生とマラソン”語る
,2019年09月12日 00:19
43,NHKネット活用　4業務は「受信料収入2.5％」と別枠　民放側異論出ず　総務省有識者会議
,2019年09月12日 00:04
44,日本音楽コンクール日本音コン　ピアノ部門　4人が本選へ進出
,2019年09月11日 23:58
45,森元首相、小泉氏初入閣に「とりもとったり、受けも受けたりだ」
,2019年09月11日 23:55
46,小泉環境相、汚染処理水「福島の方がこれ以上傷つくことのない議論を」原田氏発言めぐり
,2019年09月11日 23:52
47,英議会閉会は「違法」裁判所が判断　ジョンソン首相敗訴
,2019年09月11日 23:44
48,バハルディン・ユスフ・ハビビさん死去　83歳　インドネシア元大統領
,2019年09月11日 23:42
49,金融庁検査、数カ月か　かんぽ生保不正販売　経営責任など焦点に
,2019年09月11日 23:38
50,文化財切り取り　県外の重要文化財68点も調査対象に　岩手県教委
,2019年09月11日 23:30
